Words,Similarity_Score,Paragraph_Numbers,Count,Paragraphs,Path
market,0.58,3,1,"and alan greenspan highlighted the us government's willingness to curb spending and rising household savings as factors which may help to reduce it. in late trading in new york, the dollar reached $1.2871 against the euro, from $1.2974 on thursday. market concerns about the deficit has hit the greenback in recent months. on friday, federal reserve chairman mr greenspan's speech in london ahead of the meeting of g7 finance ministers sent the dollar higher after it had earlier tumbled on the back of worse-than-expected us jobs data. ""i think the chairman's taking a much more sanguine view on the current account deficit than he's taken for some time,"" said robert sinche, head of currency strategy at bank of america in new york. ""he's taking a longer-term view, laying out a set of conditions under which the current account deficit can improve this year and next.""",bbc_doc/business/002.docx
money,0.64,3,1,"state-owned rosneft bought the yugansk unit for $9.3bn in a sale forced by russia to part settle a $27.5bn tax claim against yukos. yukos' owner menatep group says it will ask rosneft to repay a loan that yugansk had secured on its assets. rosneft already faces a similar $540m repayment demand from foreign banks. legal experts said rosneft's purchase of yugansk would include such obligations. ""the pledged assets are with rosneft, so it will have to pay real money to the creditors to avoid seizure of yugansk assets,"" said moscow-based us lawyer jamie firestone, who is not connected to the case. menatep group's managing director tim osborne told the reuters news agency: ""if they default, we will fight them where the rule of law exists under the international arbitration clauses of the credit.""",bbc_doc/business/003.docx
pay,0.6,2,2,the owners of embattled russian oil giant yukos are to ask the buyer of its former production unit to pay back a $900m (£479m) loan.,bbc_doc/business/003.docx
,,3,,"state-owned rosneft bought the yugansk unit for $9.3bn in a sale forced by russia to part settle a $27.5bn tax claim against yukos. yukos' owner menatep group says it will ask rosneft to repay a loan that yugansk had secured on its assets. rosneft already faces a similar $540m repayment demand from foreign banks. legal experts said rosneft's purchase of yugansk would include such obligations. ""the pledged assets are with rosneft, so it will have to pay real money to the creditors to avoid seizure of yugansk assets,"" said moscow-based us lawyer jamie firestone, who is not connected to the case. menatep group's managing director tim osborne told the reuters news agency: ""if they default, we will fight them where the rule of law exists under the international arbitration clauses of the credit.""",bbc_doc/business/003.docx
tax,0.55,3,2,"state-owned rosneft bought the yugansk unit for $9.3bn in a sale forced by russia to part settle a $27.5bn tax claim against yukos. yukos' owner menatep group says it will ask rosneft to repay a loan that yugansk had secured on its assets. rosneft already faces a similar $540m repayment demand from foreign banks. legal experts said rosneft's purchase of yugansk would include such obligations. ""the pledged assets are with rosneft, so it will have to pay real money to the creditors to avoid seizure of yugansk assets,"" said moscow-based us lawyer jamie firestone, who is not connected to the case. menatep group's managing director tim osborne told the reuters news agency: ""if they default, we will fight them where the rule of law exists under the international arbitration clauses of the credit.""",bbc_doc/business/003.docx
,,4,,rosneft officials were unavailable for comment. but the company has said it intends to take action against menatep to recover some of the tax claims and debts owed by yugansk. yukos had filed for bankruptcy protection in a us court in an attempt to prevent the forced sale of its main production arm. the sale went ahead in december and yugansk was sold to a little-known shell company which in turn was bought by rosneft. yukos claims its downfall was punishment for the political ambitions of its founder mikhail khodorkovsky and has vowed to sue any participant in the sale.,bbc_doc/business/003.docx
profit,1.0,1,3,high fuel prices hit ba's profits,bbc_doc/business/004.docx
,,2,,british airways has blamed high fuel prices for a 40% drop in profits.,bbc_doc/business/004.docx
,,3,,"reporting its results for the three months to 31 december 2004, the airline made a pre-tax profit of £75m ($141m) compared with £125m a year earlier. rod eddington, ba's chief executive, said the results were ""respectable"" in a third quarter when fuel costs rose by £106m or 47.3%. ba's profits were still better than market expectation of £59m, and it expects a rise in full-year revenues.",bbc_doc/business/004.docx
revenue,0.79,3,3,"reporting its results for the three months to 31 december 2004, the airline made a pre-tax profit of £75m ($141m) compared with £125m a year earlier. rod eddington, ba's chief executive, said the results were ""respectable"" in a third quarter when fuel costs rose by £106m or 47.3%. ba's profits were still better than market expectation of £59m, and it expects a rise in full-year revenues.",bbc_doc/business/004.docx
,,5,,"in october, it increased this from £6 to £10 one-way for all long-haul flights, while the short-haul surcharge was raised from £2.50 to £4 a leg. yet aviation analyst mike powell of dresdner kleinwort wasserstein says ba's estimated annual surcharge revenues - £160m - will still be way short of its additional fuel costs - a predicted extra £250m. turnover for the quarter was up 4.3% to £1.97bn, further benefiting from a rise in cargo revenue. looking ahead to its full year results to march 2005, ba warned that yields - average revenues per passenger - were expected to decline as it continues to lower prices in the face of competition from low-cost carriers. however, it said sales would be better than previously forecast. ""for the year to march 2005, the total revenue outlook is slightly better than previous guidance with a 3% to 3.5% improvement anticipated,"" ba chairman martin broughton said. ba had previously forecast a 2% to 3% rise in full-year revenue.",bbc_doc/business/004.docx
,,6,,"it also reported on friday that passenger numbers rose 8.1% in january. aviation analyst nick van den brul of bnp paribas described ba's latest quarterly results as ""pretty modest"". ""it is quite good on the revenue side and it shows the impact of fuel surcharges and a positive cargo development, however, operating margins down and cost impact of fuel are very strong,"" he said. since the 11 september 2001 attacks in the united states, ba has cut 13,000 jobs as part of a major cost-cutting drive. ""our focus remains on reducing controllable costs and debt whilst continuing to invest in our products,"" mr eddington said. ""for example, we have taken delivery of six airbus a321 aircraft and next month we will start further improvements to our club world flat beds."" ba's shares closed up four pence at 274.5 pence.",bbc_doc/business/004.docx
invest,0.62,6,1,"it also reported on friday that passenger numbers rose 8.1% in january. aviation analyst nick van den brul of bnp paribas described ba's latest quarterly results as ""pretty modest"". ""it is quite good on the revenue side and it shows the impact of fuel surcharges and a positive cargo development, however, operating margins down and cost impact of fuel are very strong,"" he said. since the 11 september 2001 attacks in the united states, ba has cut 13,000 jobs as part of a major cost-cutting drive. ""our focus remains on reducing controllable costs and debt whilst continuing to invest in our products,"" mr eddington said. ""for example, we have taken delivery of six airbus a321 aircraft and next month we will start further improvements to our club world flat beds."" ba's shares closed up four pence at 274.5 pence.",bbc_doc/business/004.docx
market,0.58,3,1,"reporting its results for the three months to 31 december 2004, the airline made a pre-tax profit of £75m ($141m) compared with £125m a year earlier. rod eddington, ba's chief executive, said the results were ""respectable"" in a third quarter when fuel costs rose by £106m or 47.3%. ba's profits were still better than market expectation of £59m, and it expects a rise in full-year revenues.",bbc_doc/business/004.docx
tax,0.55,3,1,"reporting its results for the three months to 31 december 2004, the airline made a pre-tax profit of £75m ($141m) compared with £125m a year earlier. rod eddington, ba's chief executive, said the results were ""respectable"" in a third quarter when fuel costs rose by £106m or 47.3%. ba's profits were still better than market expectation of £59m, and it expects a rise in full-year revenues.",bbc_doc/business/004.docx
financial,0.6,3,1,"reports in the wall street journal and the financial times suggested that the french spirits firm is considering a bid, but has yet to contact its target. allied domecq shares in london rose 4% by 1200 gmt, while pernod shares in paris slipped 1.2%. pernod said it was seeking acquisitions but refused to comment on specifics.",bbc_doc/business/005.docx
market,0.58,4,1,"pernod's last major purchase was a third of us giant seagram in 2000, the move which propelled it into the global top three of drinks firms. the other two-thirds of seagram was bought by market leader diageo. in terms of market value, pernod - at 7.5bn euros ($9.7bn) - is about 9% smaller than allied domecq, which has a capitalisation of £5.7bn ($10.7bn; 8.2bn euros). last year pernod tried to buy glenmorangie, one of scotland's premier whisky firms, but lost out to luxury goods firm lvmh. pernod is home to brands including chivas regal scotch whisky, havana club rum and jacob's creek wine. allied domecq's big names include malibu rum, courvoisier brandy, stolichnaya vodka and ballantine's whisky - as well as snack food chains such as dunkin' donuts and baskin-robbins ice cream. the wsj said that the two were ripe for consolidation, having each dealt with problematic parts of their portfolio. pernod has reduced the debt it took on to fund the seagram purchase to just 1.8bn euros, while allied has improved the performance of its fast-food chains.",bbc_doc/business/005.docx
fund,0.57,4,1,"pernod's last major purchase was a third of us giant seagram in 2000, the move which propelled it into the global top three of drinks firms. the other two-thirds of seagram was bought by market leader diageo. in terms of market value, pernod - at 7.5bn euros ($9.7bn) - is about 9% smaller than allied domecq, which has a capitalisation of £5.7bn ($10.7bn; 8.2bn euros). last year pernod tried to buy glenmorangie, one of scotland's premier whisky firms, but lost out to luxury goods firm lvmh. pernod is home to brands including chivas regal scotch whisky, havana club rum and jacob's creek wine. allied domecq's big names include malibu rum, courvoisier brandy, stolichnaya vodka and ballantine's whisky - as well as snack food chains such as dunkin' donuts and baskin-robbins ice cream. the wsj said that the two were ripe for consolidation, having each dealt with problematic parts of their portfolio. pernod has reduced the debt it took on to fund the seagram purchase to just 1.8bn euros, while allied has improved the performance of its fast-food chains.",bbc_doc/business/005.docx
increase,0.6,3,1,"the tv couple's interest in the book world coined the term ""the richard & judy effect"" and created the top two best-selling paperbacks of 2004 so far. the finalists for 2005 include andrew taylor's the american boy and robbie williams' autobiography feel. this year's winner, alice sebold's the lovely bones, sold over one million. joseph o'connor's star of the sea came second and saw sales increase by 350%. the best read award, on richard madeley and judy finnigan's channel 4 show, is part of the british book awards. david mitchell's booker-shortlisted novel, cloud atlas, makes it into this year's top 10 along with several lesser known works.",bbc_doc/entertainment/004.docx
money,0.64,5,1,"she said the conservatives would announce their proposals closer to the general election. liberal democrat spokeswoman for women sandra gidley said: ""while mothers would welcome any extra maternity pay the liberal democrats feel this money is being misdirected."" she said her party would boost maternity pay in the first six months to allow more women to stay at home in that time.",bbc_doc/politics/001.docx
pay,0.6,1,6,labour plans maternity pay rise,bbc_doc/politics/001.docx
,,2,,"maternity pay for new mothers is to rise by £1,400 as part of new proposals announced by the trade and industry secretary patricia hewitt.",bbc_doc/politics/001.docx
,,3,,"it would mean paid leave would be increased to nine months by 2007, ms hewitt told gmtv's sunday programme. other plans include letting maternity pay be given to fathers and extending rights to parents of older children. the tories dismissed the maternity pay plan as ""desperate"", while the liberal democrats said it was misdirected.",bbc_doc/politics/001.docx
,,4,,"ms hewitt said: ""we have already doubled the length of maternity pay, it was 13 weeks when we were elected, we have already taken it up to 26 weeks. ""we are going to extend the pay to nine months by 2007 and the aim is to get it right up to the full 12 months by the end of the next parliament."" she said new mothers were already entitled to 12 months leave, but that many women could not take it as only six of those months were paid. ""we have made a firm commitment. we will definitely extend the maternity pay, from the six months where it now is to nine months, that's the extra £1,400."" she said ministers would consult on other proposals that could see fathers being allowed to take some of their partner's maternity pay or leave period, or extending the rights of flexible working to carers or parents of older children. the shadow secretary of state for the family, theresa may, said: ""these plans were announced by gordon brown in his pre-budget review in december and tony blair is now recycling it in his desperate bid to win back women voters.""",bbc_doc/politics/001.docx
,,5,,"she said the conservatives would announce their proposals closer to the general election. liberal democrat spokeswoman for women sandra gidley said: ""while mothers would welcome any extra maternity pay the liberal democrats feel this money is being misdirected."" she said her party would boost maternity pay in the first six months to allow more women to stay at home in that time.",bbc_doc/politics/001.docx
,,6,,"ms hewitt also stressed the plans would be paid for by taxpayers, not employers. but david frost, director general of the british chambers of commerce, warned that many small firms could be ""crippled"" by the move. ""while the majority of any salary costs may be covered by the government's statutory pay, recruitment costs, advertising costs, retraining costs and the strain on the company will not be,"" he said. further details of the government's plans will be outlined on monday. new mothers are currently entitled to 90% of average earnings for the first six weeks after giving birth, followed by £102.80 a week until the baby is six months old.",bbc_doc/politics/001.docx
paid,0.59,3,3,"it would mean paid leave would be increased to nine months by 2007, ms hewitt told gmtv's sunday programme. other plans include letting maternity pay be given to fathers and extending rights to parents of older children. the tories dismissed the maternity pay plan as ""desperate"", while the liberal democrats said it was misdirected.",bbc_doc/politics/001.docx
,,4,,"ms hewitt said: ""we have already doubled the length of maternity pay, it was 13 weeks when we were elected, we have already taken it up to 26 weeks. ""we are going to extend the pay to nine months by 2007 and the aim is to get it right up to the full 12 months by the end of the next parliament."" she said new mothers were already entitled to 12 months leave, but that many women could not take it as only six of those months were paid. ""we have made a firm commitment. we will definitely extend the maternity pay, from the six months where it now is to nine months, that's the extra £1,400."" she said ministers would consult on other proposals that could see fathers being allowed to take some of their partner's maternity pay or leave period, or extending the rights of flexible working to carers or parents of older children. the shadow secretary of state for the family, theresa may, said: ""these plans were announced by gordon brown in his pre-budget review in december and tony blair is now recycling it in his desperate bid to win back women voters.""",bbc_doc/politics/001.docx
,,6,,"ms hewitt also stressed the plans would be paid for by taxpayers, not employers. but david frost, director general of the british chambers of commerce, warned that many small firms could be ""crippled"" by the move. ""while the majority of any salary costs may be covered by the government's statutory pay, recruitment costs, advertising costs, retraining costs and the strain on the company will not be,"" he said. further details of the government's plans will be outlined on monday. new mothers are currently entitled to 90% of average earnings for the first six weeks after giving birth, followed by £102.80 a week until the baby is six months old.",bbc_doc/politics/001.docx
income,0.71,8,1,"it has been set up to advise hundreds of companies on equal wage policies. research conducted by the eoc last year revealed that many britons believe the pay gap between men and women is the result of ""natural differences"" between the sexes. women hold less than 10% of the top positions in ftse 100 companies, the police, the judiciary and trade unions, according to their figures. and retired women have just over half the income of their male counterparts on average.",bbc_doc/politics/003.docx
pay,0.6,3,4,"patricia hewitt said the cost of the proposals was being evaluated, but it was an ""increasingly high priority"" and a ""shared goal across government"". ms hewitt was speaking at a gender and productivity seminar organised by the equal opportunities commission (eoc). mothers can currently take up to six months' paid leave - and six unpaid. ms hewitt told the seminar: ""clearly, one of the things we need to do in the future is to extend the period of payment for maternity leave beyond the first six months into the second six months. ""we are looking at how quickly we can do that, because obviously there are cost implications because the taxpayer reimburses the employers for the cost of that.""",bbc_doc/politics/003.docx
,,5,,"the minister told delegates that getting rid of ""career sexism"" was vital to closing the gender pay gap.",bbc_doc/politics/003.docx
,,7,,"she added that while progress had been made, there was still a gap in pay figures. ""the average woman working full-time is being paid about 80p for every pound a man is earning. for women working part-time it is 60p."" the department for trade and industry will also provide funding to help a new pay experts panel run by the tuc.",bbc_doc/politics/003.docx
,,8,,"it has been set up to advise hundreds of companies on equal wage policies. research conducted by the eoc last year revealed that many britons believe the pay gap between men and women is the result of ""natural differences"" between the sexes. women hold less than 10% of the top positions in ftse 100 companies, the police, the judiciary and trade unions, according to their figures. and retired women have just over half the income of their male counterparts on average.",bbc_doc/politics/003.docx
paid,0.59,2,4,"plans to extend paid maternity leave beyond six months should be prominent in labour's election manifesto, the trade and industry secretary has said.",bbc_doc/politics/003.docx
,,3,,"patricia hewitt said the cost of the proposals was being evaluated, but it was an ""increasingly high priority"" and a ""shared goal across government"". ms hewitt was speaking at a gender and productivity seminar organised by the equal opportunities commission (eoc). mothers can currently take up to six months' paid leave - and six unpaid. ms hewitt told the seminar: ""clearly, one of the things we need to do in the future is to extend the period of payment for maternity leave beyond the first six months into the second six months. ""we are looking at how quickly we can do that, because obviously there are cost implications because the taxpayer reimburses the employers for the cost of that.""",bbc_doc/politics/003.docx
,,6,,"""career sexism limits opportunities for women of all ages and prevents them from achieving their full potential. ""it is simply wrong to assume someone cannot do a job on the grounds of their sex,"" she said. earlier, she told bbc radio 4's today programme: ""what we are talking about here is the fact that about six out of 20 women work in jobs that are low-paid and typically dominated by women, so we have got very segregated employment. ""unfortunately, in some cases, this reflects very old-fashioned and stereotypical ideas about the appropriate jobs for women, or indeed for men. ""career sexism is about saying that engineering, for instance, where only 10% of employees are women, is really a male-dominated industry. construction is even worse. ""but it is also about saying childcare jobs are really there for women and not suitable for men. career sexism goes both ways.""",bbc_doc/politics/003.docx
,,7,,"she added that while progress had been made, there was still a gap in pay figures. ""the average woman working full-time is being paid about 80p for every pound a man is earning. for women working part-time it is 60p."" the department for trade and industry will also provide funding to help a new pay experts panel run by the tuc.",bbc_doc/politics/003.docx
revenue,0.79,5,1,"colin asplin, blackpool hotel association said: ""we have tried very hard to make sure they come back to blackpool. ""obviously we have failed in that. i just hope manchester can handle the crowds. ""it amazes me that the labour party, which is a working class party, doesn't want to come to the main working class resort in the country."" the exact cost to blackpool in terms of lost revenue for hotel accommodation is not yet known but it is thought that block bookings will be taken at the major manchester hotels after the official announcement.",bbc_doc/politics/004.docx
cash,0.65,3,2,"ed balls, ex-chief economic adviser to the treasury, said there would be no spending spree before polling day. but mr balls, a prospective labour mp, said he was confident the chancellor would meet his fiscal rules. he was speaking as sir digby jones, cbi director general, warned mr brown not to be tempted to use any extra cash on pre-election bribes.",bbc_doc/politics/005.docx
,,7,,"his assurances came after sir digby jones said stability was all important and any extra cash should be spent on improving workers' skills. his message to the chancellor was: ""please don't give it away in any form of electioneering."" sir digby added: ""i don't think he will. i have to say he has been a prudent chancellor right the way through. stability is the key word - british business needs boring stability more than anything. ""we would say to him 'don't increase your public spending, don't give it away. but if you are going to anywhere, just add something to the competitiveness of britain, put it into skilling our people'. ""that would be a good way to spend any excess.""",bbc_doc/politics/005.docx
increase,0.6,7,1,"his assurances came after sir digby jones said stability was all important and any extra cash should be spent on improving workers' skills. his message to the chancellor was: ""please don't give it away in any form of electioneering."" sir digby added: ""i don't think he will. i have to say he has been a prudent chancellor right the way through. stability is the key word - british business needs boring stability more than anything. ""we would say to him 'don't increase your public spending, don't give it away. but if you are going to anywhere, just add something to the competitiveness of britain, put it into skilling our people'. ""that would be a good way to spend any excess.""",bbc_doc/politics/005.docx
tax,0.55,4,1,"mr balls, who stepped down from his treasury post to stand as a labour candidate in the election, had suggested that mr brown would meet his golden economic rule - ""with a margin to spare"". he said he hoped more would be done to build on current tax credit rules.",bbc_doc/politics/005.docx
pay,0.6,4,1,"for the first time, claxton has only been preparing for a campaign over the hurdles - which could explain her leap in form. in previous seasons, the 25-year-old also contested the long jump but since moving from colchester to london she has re-focused her attentions. claxton will see if her new training regime pays dividends at the european indoors which take place on 5-6 march.",bbc_doc/sports/001.docx
dividend,0.57,4,1,"for the first time, claxton has only been preparing for a campaign over the hurdles - which could explain her leap in form. in previous seasons, the 25-year-old also contested the long jump but since moving from colchester to london she has re-focused her attentions. claxton will see if her new training regime pays dividends at the european indoors which take place on 5-6 march.",bbc_doc/sports/001.docx
profit,1.0,10,1,"david mikosz works for the ifes, an international, non-profit organisation that supports the building of democratic societies.",bbc_doc/technology/001.docx
expense,0.64,3,1,"this new technology is causing both worries and guarded optimism among different sectors of the population. in an effort to live up to its reputation in the 1990s as ""an island of democracy"", the kyrgyz president, askar akaev, pushed through the law requiring the use of ink during the upcoming parliamentary and presidential elections. the us government agreed to fund all expenses associated with this decision.",bbc_doc/technology/001.docx
money,0.64,6,1,"however, the presence of ultraviolet light (of the kind used to verify money) causes the ink to glow with a neon yellow light. at the entrance to each polling station, one election official will scan voter's fingers with uv lamp before allowing them to enter, and every voter will have his/her left thumb sprayed with ink before receiving the ballot. if the ink shows under the uv light the voter will not be allowed to enter the polling station. likewise, any voter who refuses to be inked will not receive the ballot. these elections are assuming even greater significance because of two large factors - the upcoming parliamentary elections are a prelude to a potentially regime changing presidential election in the autumn as well as the echo of recent elections in other former soviet republics, notably ukraine and georgia. the use of ink has been controversial - especially among groups perceived to be pro-government.",bbc_doc/technology/001.docx
fund,0.57,3,1,"this new technology is causing both worries and guarded optimism among different sectors of the population. in an effort to live up to its reputation in the 1990s as ""an island of democracy"", the kyrgyz president, askar akaev, pushed through the law requiring the use of ink during the upcoming parliamentary and presidential elections. the us government agreed to fund all expenses associated with this decision.",bbc_doc/technology/001.docx
net,0.58,1,5,china net cafe culture crackdown,bbc_doc/technology/002.docx
,,2,,"chinese authorities closed 12,575 net cafes in the closing months of 2004, the country's government said.",bbc_doc/technology/002.docx
,,3,,according to the official news agency most of the net cafes were closed down because they were operating illegally. chinese net cafes operate under a set of strict guidelines and many of those most recently closed broke rules that limit how close they can be to schools. the move is the latest in a series of steps the chinese government has taken to crack down on what it considers to be immoral net use.,bbc_doc/technology/002.docx
,,4,,"the official xinhua news agency said the crackdown was carried out to create a ""safer environment for young people in china"". rules introduced in 2002 demand that net cafes be at least 200 metres away from middle and elementary schools. the hours that children can use net cafes are also tightly regulated. china has long been worried that net cafes are an unhealthy influence on young people. the 12,575 cafes were shut in the three months from october to december. china also tries to dictate the types of computer games people can play to limit the amount of violence people are exposed to.",bbc_doc/technology/002.docx
,,5,,"net cafes are hugely popular in china because the relatively high cost of computer hardware means that few people have pcs in their homes. this is not the first time that the chinese government has moved against net cafes that are not operating within its strict guidelines. all the 100,000 or so net cafes in the country are required to use software that controls what websites users can see. logs of sites people visit are also kept. laws on net cafe opening hours and who can use them were introduced in 2002 following a fire at one cafe that killed 25 people. during the crackdown following the blaze authorities moved to clean up net cafes and demanded that all of them get permits to operate. in august 2004 chinese authorities shut down 700 websites and arrested 224 people in a crackdown on net porn. at the same time it introduced new controls to block overseas sex sites. the reporters without borders group said in a report that chinese government technologies for e-mail interception and net censorship are among the most highly developed in the world.",bbc_doc/technology/002.docx
