Words,Similarity_Score,Paragraph_Numbers,Count,Paragraphs,Path
market,0.58,3,1,"and alan greenspan highlighted the us government's willingness to curb spending and rising household savings as factors which may help to reduce it. in late trading in new york, the dollar reached $1.2871 against the euro, from $1.2974 on thursday. market concerns about the deficit has hit the greenback in recent months. on friday, federal reserve chairman mr greenspan's speech in london ahead of the meeting of g7 finance ministers sent the dollar higher after it had earlier tumbled on the back of worse-than-expected us jobs data. ""i think the chairman's taking a much more sanguine view on the current account deficit than he's taken for some time,"" said robert sinche, head of currency strategy at bank of america in new york. ""he's taking a longer-term view, laying out a set of conditions under which the current account deficit can improve this year and next.""",bbc_doc/business/002.docx
money,0.64,3,1,"state-owned rosneft bought the yugansk unit for $9.3bn in a sale forced by russia to part settle a $27.5bn tax claim against yukos. yukos' owner menatep group says it will ask rosneft to repay a loan that yugansk had secured on its assets. rosneft already faces a similar $540m repayment demand from foreign banks. legal experts said rosneft's purchase of yugansk would include such obligations. ""the pledged assets are with rosneft, so it will have to pay real money to the creditors to avoid seizure of yugansk assets,"" said moscow-based us lawyer jamie firestone, who is not connected to the case. menatep group's managing director tim osborne told the reuters news agency: ""if they default, we will fight them where the rule of law exists under the international arbitration clauses of the credit.""",bbc_doc/business/003.docx
pay,0.6,2,2,the owners of embattled russian oil giant yukos are to ask the buyer of its former production unit to pay back a $900m (£479m) loan.,bbc_doc/business/003.docx
,,3,,"state-owned rosneft bought the yugansk unit for $9.3bn in a sale forced by russia to part settle a $27.5bn tax claim against yukos. yukos' owner menatep group says it will ask rosneft to repay a loan that yugansk had secured on its assets. rosneft already faces a similar $540m repayment demand from foreign banks. legal experts said rosneft's purchase of yugansk would include such obligations. ""the pledged assets are with rosneft, so it will have to pay real money to the creditors to avoid seizure of yugansk assets,"" said moscow-based us lawyer jamie firestone, who is not connected to the case. menatep group's managing director tim osborne told the reuters news agency: ""if they default, we will fight them where the rule of law exists under the international arbitration clauses of the credit.""",bbc_doc/business/003.docx
tax,0.55,3,2,"state-owned rosneft bought the yugansk unit for $9.3bn in a sale forced by russia to part settle a $27.5bn tax claim against yukos. yukos' owner menatep group says it will ask rosneft to repay a loan that yugansk had secured on its assets. rosneft already faces a similar $540m repayment demand from foreign banks. legal experts said rosneft's purchase of yugansk would include such obligations. ""the pledged assets are with rosneft, so it will have to pay real money to the creditors to avoid seizure of yugansk assets,"" said moscow-based us lawyer jamie firestone, who is not connected to the case. menatep group's managing director tim osborne told the reuters news agency: ""if they default, we will fight them where the rule of law exists under the international arbitration clauses of the credit.""",bbc_doc/business/003.docx
,,4,,rosneft officials were unavailable for comment. but the company has said it intends to take action against menatep to recover some of the tax claims and debts owed by yugansk. yukos had filed for bankruptcy protection in a us court in an attempt to prevent the forced sale of its main production arm. the sale went ahead in december and yugansk was sold to a little-known shell company which in turn was bought by rosneft. yukos claims its downfall was punishment for the political ambitions of its founder mikhail khodorkovsky and has vowed to sue any participant in the sale.,bbc_doc/business/003.docx
profit,1.0,1,3,high fuel prices hit ba's profits,bbc_doc/business/004.docx
,,2,,british airways has blamed high fuel prices for a 40% drop in profits.,bbc_doc/business/004.docx
,,3,,"reporting its results for the three months to 31 december 2004, the airline made a pre-tax profit of £75m ($141m) compared with £125m a year earlier. rod eddington, ba's chief executive, said the results were ""respectable"" in a third quarter when fuel costs rose by £106m or 47.3%. ba's profits were still better than market expectation of £59m, and it expects a rise in full-year revenues.",bbc_doc/business/004.docx
revenue,0.79,3,3,"reporting its results for the three months to 31 december 2004, the airline made a pre-tax profit of £75m ($141m) compared with £125m a year earlier. rod eddington, ba's chief executive, said the results were ""respectable"" in a third quarter when fuel costs rose by £106m or 47.3%. ba's profits were still better than market expectation of £59m, and it expects a rise in full-year revenues.",bbc_doc/business/004.docx
,,5,,"in october, it increased this from £6 to £10 one-way for all long-haul flights, while the short-haul surcharge was raised from £2.50 to £4 a leg. yet aviation analyst mike powell of dresdner kleinwort wasserstein says ba's estimated annual surcharge revenues - £160m - will still be way short of its additional fuel costs - a predicted extra £250m. turnover for the quarter was up 4.3% to £1.97bn, further benefiting from a rise in cargo revenue. looking ahead to its full year results to march 2005, ba warned that yields - average revenues per passenger - were expected to decline as it continues to lower prices in the face of competition from low-cost carriers. however, it said sales would be better than previously forecast. ""for the year to march 2005, the total revenue outlook is slightly better than previous guidance with a 3% to 3.5% improvement anticipated,"" ba chairman martin broughton said. ba had previously forecast a 2% to 3% rise in full-year revenue.",bbc_doc/business/004.docx
,,6,,"it also reported on friday that passenger numbers rose 8.1% in january. aviation analyst nick van den brul of bnp paribas described ba's latest quarterly results as ""pretty modest"". ""it is quite good on the revenue side and it shows the impact of fuel surcharges and a positive cargo development, however, operating margins down and cost impact of fuel are very strong,"" he said. since the 11 september 2001 attacks in the united states, ba has cut 13,000 jobs as part of a major cost-cutting drive. ""our focus remains on reducing controllable costs and debt whilst continuing to invest in our products,"" mr eddington said. ""for example, we have taken delivery of six airbus a321 aircraft and next month we will start further improvements to our club world flat beds."" ba's shares closed up four pence at 274.5 pence.",bbc_doc/business/004.docx
invest,0.62,6,1,"it also reported on friday that passenger numbers rose 8.1% in january. aviation analyst nick van den brul of bnp paribas described ba's latest quarterly results as ""pretty modest"". ""it is quite good on the revenue side and it shows the impact of fuel surcharges and a positive cargo development, however, operating margins down and cost impact of fuel are very strong,"" he said. since the 11 september 2001 attacks in the united states, ba has cut 13,000 jobs as part of a major cost-cutting drive. ""our focus remains on reducing controllable costs and debt whilst continuing to invest in our products,"" mr eddington said. ""for example, we have taken delivery of six airbus a321 aircraft and next month we will start further improvements to our club world flat beds."" ba's shares closed up four pence at 274.5 pence.",bbc_doc/business/004.docx
market,0.58,3,1,"reporting its results for the three months to 31 december 2004, the airline made a pre-tax profit of £75m ($141m) compared with £125m a year earlier. rod eddington, ba's chief executive, said the results were ""respectable"" in a third quarter when fuel costs rose by £106m or 47.3%. ba's profits were still better than market expectation of £59m, and it expects a rise in full-year revenues.",bbc_doc/business/004.docx
tax,0.55,3,1,"reporting its results for the three months to 31 december 2004, the airline made a pre-tax profit of £75m ($141m) compared with £125m a year earlier. rod eddington, ba's chief executive, said the results were ""respectable"" in a third quarter when fuel costs rose by £106m or 47.3%. ba's profits were still better than market expectation of £59m, and it expects a rise in full-year revenues.",bbc_doc/business/004.docx
financial,0.6,3,1,"reports in the wall street journal and the financial times suggested that the french spirits firm is considering a bid, but has yet to contact its target. allied domecq shares in london rose 4% by 1200 gmt, while pernod shares in paris slipped 1.2%. pernod said it was seeking acquisitions but refused to comment on specifics.",bbc_doc/business/005.docx
market,0.58,4,1,"pernod's last major purchase was a third of us giant seagram in 2000, the move which propelled it into the global top three of drinks firms. the other two-thirds of seagram was bought by market leader diageo. in terms of market value, pernod - at 7.5bn euros ($9.7bn) - is about 9% smaller than allied domecq, which has a capitalisation of £5.7bn ($10.7bn; 8.2bn euros). last year pernod tried to buy glenmorangie, one of scotland's premier whisky firms, but lost out to luxury goods firm lvmh. pernod is home to brands including chivas regal scotch whisky, havana club rum and jacob's creek wine. allied domecq's big names include malibu rum, courvoisier brandy, stolichnaya vodka and ballantine's whisky - as well as snack food chains such as dunkin' donuts and baskin-robbins ice cream. the wsj said that the two were ripe for consolidation, having each dealt with problematic parts of their portfolio. pernod has reduced the debt it took on to fund the seagram purchase to just 1.8bn euros, while allied has improved the performance of its fast-food chains.",bbc_doc/business/005.docx
fund,0.57,4,1,"pernod's last major purchase was a third of us giant seagram in 2000, the move which propelled it into the global top three of drinks firms. the other two-thirds of seagram was bought by market leader diageo. in terms of market value, pernod - at 7.5bn euros ($9.7bn) - is about 9% smaller than allied domecq, which has a capitalisation of £5.7bn ($10.7bn; 8.2bn euros). last year pernod tried to buy glenmorangie, one of scotland's premier whisky firms, but lost out to luxury goods firm lvmh. pernod is home to brands including chivas regal scotch whisky, havana club rum and jacob's creek wine. allied domecq's big names include malibu rum, courvoisier brandy, stolichnaya vodka and ballantine's whisky - as well as snack food chains such as dunkin' donuts and baskin-robbins ice cream. the wsj said that the two were ripe for consolidation, having each dealt with problematic parts of their portfolio. pernod has reduced the debt it took on to fund the seagram purchase to just 1.8bn euros, while allied has improved the performance of its fast-food chains.",bbc_doc/business/005.docx
